img,نوع المستند,التاريخ,الجهة,المرجع,عدد العمليات,المبلغ_قبل_الضريبة,الضريبة,الإجمالي,ملاحظة
IMG_1798,فاتورة مورد,2026-09-05,شركة سفير الأطعمة,26110011767,,193.10,28.97,222.07,صنف واحد شاورما سليم 10كجم · نقدًا
IMG_1804,فاتورة مورد,2026-05-17,دار السالمين التجارية,683148,,2002.95,300.45,2303.40,فاتورة ضريبية كاملة · 9 أصناف · نقدًا
IMG_1805,فاتورة يدوية,,,0218,,,,,خانات العدد والسعر فارغة — غير صالحة
IMG_1822,تذكرة هنقرستيشن,2026-04-23,هنقرستيشن — مشوي كور الهضبة,132363389,,,,37.00,مدفوع مسبقًا · صنفان
IMG_1824,تقرير نقطة بيع,,شبكة مدى,,1,,,15.00,رأس التقرير مقصوص — بلا تاريخ
IMG_1827,تقرير نقطة بيع,,شبكة مدى,,1,,,12.00,رأس التقرير مقصوص — بلا تاريخ
IMG_1844,موازنة يومية,2026-04-15,مؤسسة حمد عبدالحميد الهقاص — الحمراء,RYDB 205399076024,7,,,161.00,تقرير كامل · المجاميع متوافقة · مدى فقط
IMG_1848,تقرير نقطة بيع,,شبكة مدى,,1,,,9.00,رأس التقرير مقصوص — بلا تاريخ
IMG_1856,فاتورة يدوية,2026-07-30,,0531,,,,,سطر واحد غير مقروء — غير صالحة
IMG_1855,فاتورة يدوية,2026-08-01,مورد صغير — باسم «كرز»,0567,,,,9,سطر واحد · بلا كمية أو سعر وحدة
IMG_1857,فاتورة يدوية,2026-05-19,مورد صغير — باسم «كرز»,0227,,,,66,سطر واحد · بلا كمية أو سعر وحدة
IMG_1858,فاتورة يدوية,2026-05-21,مورد صغير — باسم «كرز»,0373,,,,26,سطر واحد · بلا كمية أو سعر وحدة
IMG_1825,موازنة يومية,2026-04-12,مؤسسة حمد عبدالحميد الهقاص — الحمراء,RYDB 000528,3,,,28.00,تقرير كامل · المجاميع متوافقة · مدى فقط
IMG_1823,موازنة يومية,,مؤسسة حمد عبدالحميد الهقاص — الحمراء,,3,,,169.00,المجاميع متوافقة · الرأس مقصوص فبلا تاريخ
IMG_1800,فاتورة يدوية,,مورد صغير — باسم «كرز»,0443,,,,,مبلغ غير مقروء
IMG_1801,فاتورة يدوية,,مورد صغير — باسم «كرز»,0418,,,,15,سطر واحد بلا تفاصيل
